#IAU names		IVS names		SNR		SNR		KT-KU		KT-KY		KU-KY		KT-KU		KT-KY		KU-KY		Obscode		New detection	
#[J1950]		-		KT		KU		[kλ]		[kλ]		[kλ]		[Jy]		[Jy]		[Jy]		-		Y/N	
0006+397	 	0006+397	 	74.5	 	75.6	 	26577.391	 	34862.116	 	15448.171	 	0.12	 	0.118	 	0.09	 	s14jl01d	 	Y	  
0006+397	 	0006+397	 	79.5	 	78.3	 	26574.067	 	35765.393	 	-1	 	0.096	 	0.123	 	-1	 	s14jl01d	 	Y	  
0006+397	 	0006+397	 	61.5	 	-1	 	-1	 	36360.786	 	-1	 	-1	 	0.166	 	-1	 	s14jl01a	 	Y	  
0006+397	 	0006+397	 	65.3	 	-1	 	-1	 	36317.744	 	-1	 	-1	 	0.173	 	-1	 	s14jl01a	 	Y	  
0007+171	 	0007+171	 	-1	 	65.5	 	17637.824	 	-1	 	19626.098	 	0.145	 	-1	 	0.128	 	s14jl01c	 	Y	  
0007+171	 	0007+171	 	93	 	93.3	 	21831.423	 	36337.822	 	19002.963	 	0.234	 	0.089	 	0.138	 	s14jl01d	 	Y	  
0007+171	 	0007+171	 	65.7	 	-1	 	-1	 	36391.565	 	-1	 	-1	 	0.098	 	-1	 	s14jl01a	 	Y	  
0007+171	 	0007+171	 	82.5	 	83.7	 	22674.615	 	36411.837	 	15508.847	 	0.108	 	0.133	 	0.156	 	s14jl01d	 	Y	  
0007+171	 	0007+171	 	83.6	 	93.1	 	21979.729	 	36369.439	 	18845.204	 	0.129	 	0.162	 	0.15	 	s14jl01c	 	Y	  
0007+171	 	0007+171	 	87.1	 	-1	 	-1	 	35836.146	 	-1	 	-1	 	0.242	 	-1	 	s14jl01a	 	Y	  
0008-222	 	0008-222	 	99.7	 	102.6	 	27085.07	 	26145.186	 	10032.967	 	-1	 	0.262	 	-1	 	s14jl01d	 	Y	  
0008-222	 	0008-222	 	105.1	 	105	 	25451.147	 	22558.124	 	14331.799	 	0.251	 	0.282	 	0.279	 	s14jl01d	 	Y	  
