#IAU names		IVS names		Stotal		Sunresolved		Speak		rms		bmaj		bmin		Position Angle		Dynamic range		Image quality	
#[J2000]		-		[Jy]		[Jy]		[Jy]		[Jy/beam]		mas]		[mas]		[°]		-		-	
J0059+0006	 	0056-001	 	0.286894	 	0.287	 	0.294	 	0.02	 	11.6	 	2.91	 	-52.7	 	15	 	0.584	  
J0108+0135	 	0106+013	 	2.1858	 	2.186	 	2.03	 	0.011	 	5.22	 	3.66	 	-84.6	 	187	 	0.667	  
J0116-1136	 	0113-118	 	0.986155	 	0.986	 	0.877	 	0.013	 	13	 	3.17	 	-50.7	 	70	 	0.565	  
J0132-1654	 	0130-171	 	0.917403	 	0.917	 	0.901	 	0.004	 	7.81	 	3.76	 	-47.4	 	243	 	0.718	  
J0211+1051	 	0208+106	 	1.3242	 	1.324	 	1.29	 	0.003	 	5.45	 	3.3	 	-87.5	 	406	 	0.657	  
J0405-1308	 	0403-132	 	1.03036	 	1.03	 	1.03	 	0.006	 	5.39	 	4.11	 	-75.8	 	163	 	0.579	  
J0410+7656	 	0403+768	 	0.325257	 	0.325	 	0.327	 	0.019	 	5.82	 	3.75	 	-74.2	 	17	 	0.644	  
J0407-1211	 	0405-123	 	1.27116	 	1.271	 	1.19	 	0.003	 	5.5	 	4	 	-70.3	 	454	 	0.703	  
J0453-2807	 	0451-282	 	2.03348	 	2.033	 	1.97	 	0.006	 	10.8	 	4	 	-38.4	 	326	 	0.635	  
J0512+4041	 	0509+406	 	1.537	 	1.537	 	1.38	 	0.001	 	6.41	 	3.13	 	-60.3	 	920	 	0.754	  
J0517+4537	 	0513+455	 	0.573006	 	0.528	 	0.486	 	0.002	 	6.32	 	3.21	 	-59.5	 	235	 	0.803	  
J0519+0848	 	0516+087	 	0.513367	 	0.513	 	0.502	 	0.002	 	8.68	 	3.14	 	64.1	 	328	 	0.823	  
J0532+0732	 	0529+075	 	2.194244	 	2.194	 	2.02	 	0.002	 	8.33	 	3.18	 	64.7	 	841	 	0.78	  
J0533+4822	 	0529+483	 	0.486325	 	0.486	 	0.472	 	0.003	 	6.38	 	3.3	 	-58.1	 	189	 	0.716	  
J0607-0834	 	0605-085	 	3.59206	 	3.592	 	3.43	 	0.012	 	11.3	 	3.47	 	56.7	 	283	 	0.807	  
J0608-2220	 	0606-223	 	0.541941	 	0.542	 	0.532	 	0.003	 	9.86	 	3.74	 	-43.6	 	158	 	0.553	  
J0629-1959	 	0627-199	 	1.03583	 	1.036	 	1.03	 	0.003	 	5.68	 	4.4	 	-58.7	 	342	 	0.684	  
J0721+0406	 	0718+042	 	0.94154	 	0.942	 	0.931	 	0.005	 	10	 	3.18	 	61.3	 	203	 	0.586	  
J0754+4823	 	0751+485	 	0.367541	 	0.368	 	0.368	 	0.005	 	6.41	 	3.26	 	-59	 	74	 	0.623	  
J0841+7053	 	0836+710	 	2.123926	 	2.124	 	1.9	 	0.006	 	5.6	 	3.6	 	-86.6	 	309	 	0.68	  
J0843+6833	 	0839+687	 	0.372459	 	0.372	 	0.374	 	0.004	 	8.07	 	5.1	 	-35	 	99	 	0.656	  
J0845+0439	 	0842+048	 	0.385962	 	0.386	 	0.358	 	0.007	 	7	 	3.36	 	66.4	 	54	 	0.575	  
J0850-1213	 	0847-120	 	0.559855	 	0.56	 	0.545	 	0.005	 	9.5	 	3.72	 	56.5	 	109	 	0.677	  
J0923+2815	 	0920+284	 	0.643457	 	0.643	 	0.622	 	0.002	 	9.73	 	2.99	 	62.4	 	268	 	0.607	  
