Title: High-cadence Optical Observations of a Normal Type Ia SN 2018kp from its Early Phase
Authors: Lim G., Choi C., Im M., Yoon S.-C., Paek G.S.H., Kim S., Kim J., Sung H.-I., 
         Jeong M., Park B., Paek I., Lee S.-K., Kim Y., Yoon Y., Taak Y.C., Pak S., 
         Ji T.-G., Ahn H., Kang W., Kim T., Ehgamberdiev S., Burhonov O., Mirzaqulov D.
Table: Optical light curve of SN 2018kp without any extinction correction ranging from -32.8 to -5.4 days from B maximum.
================================================================================
Byte-by-byte Description of file: v58n1p031_Table1.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1-11  A11    ---    UT Date   UT Date in 2018
13-21  F9.3   d6     MJD       [58126.31/58283.43] Epoch in Modified Julian
                              date; JD-2400000.5
23-28  F6.2   d      Phase     [-32.85/124.27] Days after the epoch of B-band
                              maximum; t - MJD 58151.161
   30  A1     ---    Filter    Observed band
32-36  F5.2   mag    Mag       [15.78/20.63] AB magnitude without reddening
                              corrections. If Detection = N, the values
                              represents the 5-sigma detection limit.
38-43  F6.2   mag    Magerr    [-99.0/0.39] 1-sigma magnitude error
45-61  A17    ---    Telescope Telescope used for the observation
   63  A1     ---    Detection Y: Detected / N: Not detected
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
Jan 8.3163  58126.316 -32.84 R 17.17 -99.00 LOAO 1.0m         N
Jan 10.6997 58128.700 -30.46 R 20.49 -99.00 DOAO 1.0m         N
Jan 13.3008 58131.301 -27.86 R 19.92 -99.00 LOAO 1.0m         N
Jan 14.2643 58132.264 -26.90 R 19.20 -99.00 LOAO 1.0m         N
Jan 19.3789 58137.379 -21.78 R 19.57 -99.00 McD 0.8m          N
Jan 19.6180 58137.618 -21.54 r 20.62 -99.00 LSGT 0.43m        N
Jan 21.2931 58139.293 -19.87 R 19.96 -99.00 McD 0.8m          N
Jan 21.9317 58139.932 -19.23 B 19.63 -99.00 MAO 1.5m (FLI)    N
Jan 21.9324 58139.932 -19.23 R 20.42 -99.00 MAO 1.5m (FLI)    N
Jan 23.3098 58141.310 -17.85 R 19.87 -99.00 McD 0.8m          N
Jan 23.6014 58141.601 -17.56 g 18.87 -99.00 LSGT 0.43m        N
Jan 23.8178 58141.818 -17.34 R 18.14 -99.00 SOAO 0.6m         N
Jan 24.2471 58142.247 -16.91 R 19.87   0.38 McD 0.8m          Y
Jan 24.6567 58142.657 -16.50 B 20.23 -99.00 DOAO 1.0m         N
Jan 24.6591 58142.659 -16.50 V 20.31   0.19 DOAO 1.0m         Y
Jan 24.6615 58142.661 -16.50 R 19.64   0.14 DOAO 1.0m         Y
Jan 25.2867 58143.287 -15.87 R 19.29   0.17 McD 0.8m          Y
Jan 26.3177 58144.318 -14.84 R 18.64   0.11 McD 0.8m          Y
Jan 26.8074 58144.807 -14.35 R 18.30   0.25 SOAO 0.6m         Y
Jan 27.3083 58145.308 -13.85 R 18.13   0.08 McD 0.8m          Y
Jan 28.8063 58146.806 -12.35 R 17.18 -99.00 SOAO 0.6m         N
Jan 29.3283 58147.328 -11.83 R 17.42   0.05 McD 0.8m          Y
Jan 29.3380 58147.338 -11.82 B 18.27   0.16 McD 0.8m          Y
Jan 29.3485 58147.349 -11.81 V 17.73   0.09 McD 0.8m          Y
Jan 29.6387 58147.639 -11.52 g 17.87   0.08 LSGT 0.43m        Y
Jan 29.6453 58147.645 -11.52 r 17.32   0.05 LSGT 0.43m        Y
Jan 29.6520 58147.652 -11.51 i 17.70   0.09 LSGT 0.43m        Y
Jan 29.6824 58147.682 -11.48 V 17.68   0.06 DOAO 1.0m         Y
Jan 29.6848 58147.685 -11.48 R 17.35   0.04 DOAO 1.0m         Y
Jan 30.4074 58148.407 -10.75 R 17.01   0.05 LOAO 1.0m         Y
Jan 31.3669 58149.367  -9.79 B 17.58   0.10 LOAO 1.0m         Y
Jan 31.3696 58149.370  -9.79 R 16.81   0.07 LOAO 1.0m         Y
Feb 3.8619  58152.862  -6.30 B 17.00   0.02 MAO 1.5m (FLI)    Y
Feb 3.8626  58152.863  -6.30 V 16.46   0.08 MAO 1.5m (FLI)    Y
Feb 3.8634  58152.863  -6.30 R 16.24   0.02 MAO 1.5m (FLI)    Y
Feb 3.8641  58152.864  -6.30 I 16.34   0.03 MAO 1.5m (FLI)    Y
Feb 4.2541  58153.254  -5.91 R 16.31   0.04 McD 0.8m          Y
Feb 4.2694  58153.269  -5.89 R 16.26   0.04 McD 0.8m          Y
Feb 4.2805  58153.280  -5.88 B 16.94   0.06 McD 0.8m          Y
Feb 4.2910  58153.291  -5.87 V 16.49   0.06 McD 0.8m          Y
Feb 4.4530  58153.453  -5.71 R 16.20   0.04 McD 0.8m          Y
Feb 4.4635  58153.464  -5.70 V 16.44   0.06 McD 0.8m          Y
Feb 4.4739  58153.474  -5.69 B 16.85   0.06 McD 0.8m          Y
Feb 4.7381  58153.738  -5.42 B 16.87   0.04 DOAO 1.0m         Y
Feb 4.7404  58153.740  -5.42 V 16.44   0.04 DOAO 1.0m         Y
Feb 4.7428  58153.743  -5.42 R 16.16   0.03 DOAO 1.0m         Y
Feb 4.7953  58153.795  -5.37 R 16.13   0.04 SOAO 0.6m         Y
Feb 5.3978  58154.398  -4.76 B 16.86   0.05 McD 0.8m          Y
Feb 5.4099  58154.410  -4.75 V 16.41   0.06 McD 0.8m          Y
Feb 5.6409  58154.641  -4.52 B 16.83   0.05 DOAO 1.0m         Y
Feb 5.6433  58154.643  -4.52 V 16.32   0.04 DOAO 1.0m         Y
Feb 5.6457  58154.646  -4.52 R 16.09   0.03 DOAO 1.0m         Y
Feb 5.8751  58154.875  -4.29 R 16.10   0.02 MAO 1.5m (FLI)    Y
Feb 5.8817  58154.882  -4.28 I 16.24   0.08 MAO 1.5m (FLI)    Y
Feb 6.3840  58155.384  -3.78 V 16.21   0.04 LOAO 1.0m         Y
Feb 6.3867  58155.387  -3.77 R 16.03   0.03 LOAO 1.0m         Y
Feb 6.3895  58155.389  -3.77 I 16.16   0.03 LOAO 1.0m         Y
Feb 7.3203  58156.320  -2.84 B 16.72   0.06 McD 0.8m          Y
Feb 7.3873  58156.387  -2.77 V 16.15   0.05 LOAO 1.0m         Y
Feb 7.3900  58156.390  -2.77 R 15.95   0.04 LOAO 1.0m         Y
Feb 7.6263  58156.626  -2.53 g 16.44   0.03 LSGT 0.43m        Y
Feb 7.7694  58156.769  -2.39 B 16.73   0.06 SOAO 0.6m         Y
Feb 7.7802  58156.780  -2.38 R 16.01   0.03 SOAO 0.6m         Y
Feb 7.9229  58156.923  -2.24 R 15.96   0.02 MAO 1.5m (FLI)    Y
Feb 7.9238  58156.924  -2.24 B 16.66   0.07 MAO 1.5m (FLI)    Y
Feb 7.9245  58156.924  -2.24 V 16.14   0.05 MAO 1.5m (FLI)    Y
Feb 7.9252  58156.925  -2.24 I 16.16   0.04 MAO 1.5m (FLI)    Y
Feb 8.3880  58157.388  -1.77 V 16.06   0.04 LOAO 1.0m         Y
Feb 8.3907  58157.391  -1.77 R 15.86   0.02 LOAO 1.0m         Y
Feb 8.6298  58157.630  -1.53 g 16.32   0.02 LSGT 0.43m        Y
Feb 8.6367  58157.637  -1.52 r 15.94   0.02 LSGT 0.43m        Y
Feb 8.6438  58157.644  -1.52 i 16.24   0.03 LSGT 0.43m        Y
Feb 8.7762  58157.776  -1.38 B 16.70   0.06 SOAO 0.6m         Y
Feb 8.7860  58157.786  -1.37 R 15.93   0.02 SOAO 0.6m         Y
Feb 9.3830  58158.383  -0.78 R 15.85   0.02 LOAO 1.0m         Y
Feb 10.2688 58159.269   0.11 B 16.61   0.04 McD 0.8m          Y
Feb 10.3835 58159.383   0.22 R 15.82   0.04 LOAO 1.0m         Y
Feb 11.3613 58160.361   1.20 B 16.62   0.03 McD 0.8m          Y
Feb 11.3830 58160.383   1.22 V 16.00   0.04 LOAO 1.0m         Y
Feb 11.3857 58160.386   1.22 R 15.82   0.04 LOAO 1.0m         Y
Feb 11.3884 58160.388   1.23 I 16.16   0.13 LOAO 1.0m         Y
Feb 11.5754 58160.575   1.41 B 16.64   0.04 DOAO 1.0m         Y
Feb 11.5775 58160.578   1.42 R 15.83   0.02 DOAO 1.0m         Y
Feb 11.5791 58160.579   1.42 V 16.09   0.03 DOAO 1.0m         Y
Feb 11.6377 58160.638   1.48 g 16.30   0.02 LSGT 0.43m        Y
Feb 11.6455 58160.646   1.48 r 15.79   0.02 LSGT 0.43m        Y
Feb 11.6526 58160.653   1.49 i 16.23   0.04 LSGT 0.43m        Y
Feb 12.3606 58161.361   2.20 R 15.90   0.05 McD 0.8m          Y
Feb 12.5724 58161.572   2.41 B 16.70   0.04 DOAO 1.0m         Y
Feb 12.5748 58161.575   2.41 V 16.09   0.04 DOAO 1.0m         Y
Feb 12.5772 58161.577   2.42 R 15.91   0.02 DOAO 1.0m         Y
Feb 12.6094 58161.609   2.45 B 16.68   0.05 DOAO 1.0m         Y
Feb 12.6118 58161.612   2.45 V 16.07   0.04 DOAO 1.0m         Y
Feb 12.6142 58161.614   2.45 R 15.89   0.02 DOAO 1.0m         Y
